Edad,Género,Nivel_Grado,Campo_Estudio,Uso_RV_Educación,Horas_RV_Semana,Nivel_de_Compromiso,Mejora_en_Resultados_Aprendizaje,Materia,Nivel_Instructor_RV,Efectividad_Persivida_de_la_RV,Acceso_Equipo_VR,Impacto_en_Creatividad,Nivel_Estres_Usando_VR,Colaboración_con_Compañeros_a_través_RV,Retroalimentación_de_Educadores_Sobre_RV,Interés_en_Seguir_con_Aprendizaje_Basado_RV,Región,Apoyo_Escuela_para_RV_en_el_currículo
16,No-Binario,Pre-Grado,Medicina,No,6,1,Si,Matemáticas,Principiante,2,Si,3,Bajo,Si,Positiva,No,Oceanía,No
15,Prefiero no decirlo,Secundaria,Ciencias,No,4,5,Si,Arte,Avanzado,5,Si,2,Bajo,Si,Neutral,Si,Oceanía,No
24,Mujer,Post-Grado,Ingeniería,Si,2,4,No,Economía,Principiante,5,No,3,Alto,No,Neutral,No,Europa,Si
28,Hombre,Secundaria,Ciencias,Si,10,5,No,Economía,Intermedio,1,Si,1,Bajo,No,Neutral,No,Asía,Si
19,Hombre,Pre-Grado,Negocios,Si,9,4,Si,Historia,Intermedio,4,Si,5,Medio,Si,Neutral,No,America del Norte,Si
19,Hombre,Secundaria,Educación,No,1,5,No,Física,Principiante,5,Si,2,Bajo,No,Neutral,Si,Oceanía,No
26,Hombre,Secundaria,Negocios,No,10,1,Si,Matemáticas,Intermedio,3,Si,1,Bajo,No,Positiva,No,África,Si
21,Prefiero no decirlo,Pre-Grado,Leyes,Si,2,2,Si,Matemáticas,Intermedio,2,Si,3,Medio,No,Positiva,Si,America del Norte,Si
18,Mujer,Post-Grado,Leyes,Si,3,1,Si,Arte,Principiante,5,No,1,Alto,Si,Positiva,No,Oceanía,No
16,Mujer,Secundaria,Leyes,No,4,3,Si,Economía,Avanzado,5,No,4,Alto,No,Neutral,Si,America del Norte,Si
24,No-Binario,Secundaria,Negocios,Si,8,3,No,Economía,Principiante,2,Si,4,Bajo,No,Positiva,Si,Oceanía,Si
