Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD1,13.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0
STUD2,16.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
STUD3,15.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
STUD4,24.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
STUD5,21.0,1.0,2.0,4.0,2.0,10.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0
STUD6,28.0,4.0,3.0,1.0,2.0,10.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0
STUD7,19.0,4.0,2.0,5.0,2.0,9.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0
STUD8,19.0,4.0,3.0,6.0,1.0,1.0,5.0,1.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
STUD9,29.0,1.0,2.0,7.0,2.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
STUD10,16.0,2.0,1.0,3.0,2.0,10.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0
STUD11,26.0,4.0,3.0,5.0,1.0,10.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0
STUD12,15.0,1.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0
